Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,GOOG,GOOG,GOOG,GOOG,GOOG,,,
2021-02-03,2021,2,3,Wednesday,05,2021-05,102.74,104.9,100.04,102.6,82364000,0.07396070670745969,92.72357142857142,90.69590909090908
2021-02-04,2021,2,4,Thursday,05,2021-05,102.54,103.02,101.24,102.22,37046000,-0.0037197778737204645,93.86428571428571,91.19695652173914
2021-02-05,2021,2,5,Friday,05,2021-05,102.6,104.21,102.07,103.98,30702000,0.017276239580116926,95.145,91.72958333333334
2021-02-08,2021,2,8,Monday,06,2021-06,104.38,105.25,102.69,103.73,24838000,-0.0024260990321797182,96.21428571428571,92.2096
2021-02-09,2021,2,9,Tuesday,06,2021-06,103.02,104.34,103.02,103.27,17798000,-0.004491321522355318,96.91071428571429,92.635
2021-02-10,2021,2,10,Wednesday,06,2021-06,103.8,104.5,102.25,103.85,22710000,0.005697089859917348,97.63285714285713,93.05037037037037
2021-02-11,2021,2,11,Thursday,06,2021-06,104.06,104.18,102.96,103.88,18914000,0.00024345687606630584,98.32285714285715,93.43714285714285
2021-02-12,2021,2,12,Friday,06,2021-06,103.6,104.52,103.25,104.29,17114000,0.003921903883499445,99.04785714285715,93.81137931034483
2021-02-16,2021,2,16,Tuesday,07,2021-07,104.3,106.69,104.3,105.17,22676000,0.008454910315180753,99.77285714285715,94.19
2021-02-17,2021,2,17,Wednesday,07,2021-07,104.08,105.75,104.03,105.49,21418000,0.0030208458020029028,100.82642857142858,94.55451612903227
2021-02-18,2021,2,18,Thursday,07,2021-07,104.6,105.7,104.27,104.93,22432000,-0.00522016511995238,101.72571428571428,94.87875
2021-02-19,2021,2,19,Friday,07,2021-07,105.04,105.6,103.95,104.14,29148000,-0.007585420869075654,102.66571428571429,95.15939393939395
